,drug,smile
903,CHEMBL1082597,Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(-c5ccc(CN)cc5)nc34)CC2)no1
904,CHEMBL1082616,COc1cc(F)c2[nH]c(-c3c(C)nn(C)c3C)c(/C=C3/Oc4ccc(NC(=O)Nc5cccnc5)cc4C3=O)c2c1
905,CHEMBL1082617,COc1ccc2[nH]c(-c3c(C)nn(C)c3C)c(/C=C3/Oc4ccc(NC(=O)Nc5ccc(C(=O)N6CCOCC6)cc5)cc4C3=O)c2c1
906,CHEMBL1082618,COc1ccc2[nH]c(-c3c(C)nn(C)c3C)c(/C=C3/Oc4ccc(NC(=O)Nc5ccc(C(=O)N6CCN(C)CC6)cc5)cc4C3=O)c2c1
907,CHEMBL1082619,COc1ccc2[nH]c(-c3c(C)nn(C)c3C)c(/C=C3/Oc4ccc(NC(=O)Nc5ccc(C(=O)N(C)CCN(C)C)cc5)cc4C3=O)c2c1
908,CHEMBL1082620,COc1cc(F)c2[nH]c(-c3c(C)nn(C)c3C)c(/C=C3/Oc4ccc(NC(=O)Nc5ccc(C(=O)N6CCOCC6)cc5)cc4C3=O)c2c1
909,CHEMBL1082621,COc1cc(F)c2[nH]c(-c3c(C)nn(C)c3C)c(/C=C3/Oc4ccc(NC(=O)Nc5ccc(C(=O)N(C)CCN(C)C)cc5)cc4C3=O)c2c1
910,CHEMBL1082622,COc1ccc2[nH]cc(/C=C3/Oc4ccc(NC(=O)Nc5ccc(C(=O)N6CCN(C)CC6)cc5)cc4C3=O)c2c1
911,CHEMBL1082683,O=c1cc(N2CCOCC2)c2cc(-c3cccc4c3sc3ccccc34)ccc2o1
912,CHEMBL1082693,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(NC(=O)N(C)C6CCCCC6)cc5)cnc34)cc2)CC1
913,CHEMBL1082755,C=CCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3
914,CHEMBL1082756,CCOCCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3
915,CHEMBL1082757,Cc1c(-c2ccnc(N)n2)sc2ccc(Cc3cccc(C(F)(F)F)c3)cc12
916,CHEMBL1082758,Cc1c(-c2ccnc(N)n2)sc2ccc(Cc3cccc(O)c3)cc12
917,CHEMBL1082819,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)C1CNCC1c1ccc(Cl)cc1
918,CHEMBL1082820,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)[C@H]1CNC[C@@H]1c1ccc(Cl)cc1
919,CHEMBL1082821,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)[C@@H]1CNC[C@H]1c1ccc(Cl)cc1
920,CHEMBL1082826,Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(C5CCCCO5)ccc4n(C)c13)CNC2=O
921,CHEMBL1082829,CCCCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3
922,CHEMBL1082830,O=C(CN1CCN(c2c(Br)cnc3[nH]c(-c4ccccc4)nc23)CC1)Nc1nccs1
923,CHEMBL1082831,COc1ccc(-c2nc3c(N4CCN(CC(=O)Nc5nccs5)CC4)c(Cl)cnc3[nH]2)cc1
924,CHEMBL1082834,CC(C)(C)CC(=O)Nc1ccc(-c2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)cc1
925,CHEMBL1082940,CC(C)C[C@@H]1NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CC[C@@H](C(N)=O)NC(=O)[C@H](CCC(=O)O)NC1=O
926,CHEMBL1082958,COCCN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(NC(=O)OCC(C)C)cc5)cnc34)cc2)CC1
927,CHEMBL1082959,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4cccc(N5CCOCC5)c4)cnn3c2N)cc1
928,CHEMBL1082986,COc1ccc2[nH]c(-c3c(C)nn(C)c3C)c(/C=C3/Oc4ccc(NC(=O)Nc5cccnc5)cc4C3=O)c2c1
929,CHEMBL1083001,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(NC(=O)CCC6CCCC6)cc5)cnc34)cc2)CC1
930,CHEMBL1083004,O=c1cc(N2CCOCC2)c2cc(-c3cccc4c3oc3ccccc34)ccc2o1
931,CHEMBL1083005,O=c1cc(N2CCOCC2)c2ccc(-c3ccccc3)cc2o1
932,CHEMBL1083022,COc1cc(-c2cnc3c(-c4cccc(N5CCN(C)CC5)c4)cnn3c2N)ccc1NC(=O)OCC(C)C
933,CHEMBL1083023,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5cccc(O)c5)cnc34)cc2)CC1
934,CHEMBL1083042,CCCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1c-4cnn1C)C(=O)NC3
935,CHEMBL1083071,Cn1ncc2c1CCc1c-2c2c(c3c1[nH]c1ccc(C4CCCCO4)cc13)CNC2=O
936,CHEMBL1083072,Cc1c(-c2ccnc(N)n2)sc2ccc(Nc3cccc(O)c3)cc12
937,CHEMBL1083073,COc1cccc(C(N)c2ccc3sc(-c4ccnc(N)n4)c(C)c3c2)c1
938,CHEMBL1083074,Cc1c(-c2ccnc(N)n2)sc2ccc(C(N)c3cccc(O)c3)cc12
939,CHEMBL1083091,CN1CCN(c2cccc(-c3cnn4c(N)c(-c5ccc(O)cc5)cnc34)c2)CC1
940,CHEMBL1083092,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(O)cc5)cnc34)cc2)CC1
941,CHEMBL1083113,CN1CCC(C(=O)Nc2cc3cc[nH]c(=O)c3cc2Cl)CC1
942,CHEMBL1083114,NCC(=O)Nc1cc2cc[nH]c(=O)c2cc1Cl
943,CHEMBL1083115,NC(C(=O)Nc1cc2cc[nH]c(=O)c2cc1Cl)c1cccc(Cl)c1
944,CHEMBL1083116,O=c1[nH]ccc2cc(NS(=O)(=O)Cc3ccccc3)ccc12
945,CHEMBL1083117,O=C(Cc1ccccc1)Nc1ccc2c(c1)CNNC2=O
946,CHEMBL1083132,N[C@@H](Cc1ccccc1)C(=O)Nc1cc2cc[nH]c(=O)c2cc1Cl
947,CHEMBL1083133,N[C@H](Cc1ccccc1)C(=O)Nc1cc2cc[nH]c(=O)c2cc1Cl
948,CHEMBL1083140,Cc1c(-c2ccnc(N(C)C)n2)sc2ccc(Cl)cc12
949,CHEMBL1083141,Cc1c(-c2ccnc(N)c2)sc2ccc(Cl)cc12
950,CHEMBL1083142,Cc1c(-c2ccncc2)sc2ccc(Cl)cc12
951,CHEMBL1083143,Cc1c(-c2ccnc3[nH]ccc23)sc2ccc(Cl)cc12
952,CHEMBL1083144,CCCCCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3
953,CHEMBL1083175,CC(C)=CC(=O)Nc1ccc2c(c1)CCc1cnc(Nc3ccc(S(N)(=O)=O)cc3)nc1-2
954,CHEMBL1083176,NS(=O)(=O)c1ccc(Nc2ncc3c(n2)-c2ccc(NC(=O)C4CCCC4)cc2CC3)cc1
955,CHEMBL1083192,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)CC1
956,CHEMBL1083208,CCCC(=O)Nc1n[nH]c2cc(-c3ccsc3)ccc12
957,CHEMBL1083209,CCCC(=O)Nc1n[nH]c2cc(-c3ccc(N)nc3)ccc12
958,CHEMBL1083275,O=C(Cc1ccccc1)Nc1cccc2cc[nH]c(=O)c12
959,CHEMBL1083276,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)C1CNCC1c1cccc(C(F)(F)F)c1
960,CHEMBL1083305,CNC(=O)Nc1ccc2c(c1)C(=O)/C(=C\c1c(-c3c(C)nn(C)c3C)[nH]c3c(F)cc(OC)cc13)O2
961,CHEMBL108332,CN1CCN(CCCCCNc2cc3c(cn2)cc(-c2c(Cl)cccc2Cl)c(=O)n3C)CC1
962,CHEMBL108333,CN1CCN(CCCCNc2cc3c(cn2)cc(-c2c(Cl)cccc2Cl)c(=O)n3C)CC1
963,CHEMBL1083344,Cc1nn2c(N)c(-c3cccc(O)c3)cnc2c1-c1ccc(N2CCN(C)CC2)cc1
964,CHEMBL1083350,CC(C)n1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1c-4cnn1C)C(=O)NC3
965,CHEMBL1083351,Cc1cccc(C(N)c2ccc3sc(-c4ccnc(N)n4)c(C)c3c2)c1
966,CHEMBL1083352,Cc1c(-c2ccnc(N)n2)sc2ccc(C(N)c3ccccc3)cc12
967,CHEMBL1083386,CCCCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1c-4cnn1C)C(=O)NC3
968,CHEMBL1083454,Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(C5CCCCO5)ccc4n(C4CCCC4)c13)CNC2=O
969,CHEMBL1083455,Cc1c(-c2ccnc(N)n2)sc2ccc(Cc3ccccc3)cc12
970,CHEMBL1083482,CC(C)C(=O)Nc1ccc2c(c1)CCc1cnc(Nc3ccc(S(N)(=O)=O)cc3)nc1-2
971,CHEMBL1083483,COC(=O)CC(=O)Nc1ccc2c(c1)CCc1cnc(Nc3ccc(S(N)(=O)=O)cc3)nc1-2
972,CHEMBL1083486,Cc1ccc(NC(=O)c2cc(Cl)cc(C(F)(F)F)c2)cc1-c1nc2c(cnn2Cc2ccccc2)[nH]1
973,CHEMBL1083490,CC(c1ccccc1)N1CCN(c2c(Cl)cnc3[nH]c(-c4ccc(N(C)C)cc4)nc23)CC1
974,CHEMBL1083491,CN(C)c1ccc(-c2nc3c(N4CCN(Cc5ccncc5)CC4)c(Br)cnc3[nH]2)cc1
975,CHEMBL1083506,OCc1cc2nc(-c3cccc4[nH]ncc34)nc(N3CCOCC3)c2s1
976,CHEMBL1083507,CC(O)c1cc2nc(-c3cccc4[nH]ncc34)nc(N3CCOCC3)c2s1
977,CHEMBL1083508,CC(C)(O)c1cc2nc(-c3cccc4[nH]ncc34)nc(N3CCOCC3)c2s1
978,CHEMBL1083509,Cc1nc(S(=O)(=O)Cc2ccccc2)nc(-c2ccc(O)cc2O)c1C(=O)Nc1cccc([N+](=O)[O-])c1
979,CHEMBL1083522,Cc1c(Nc2c(C#N)cncc2/C=C/c2ccc(CN3CCN(CCO)CC3)cc2)ccc2[nH]ccc12
980,CHEMBL1083527,Nc1ncnc2c1c(-c1ccc(OCc3ccccc3)cc1)cn2[C@H]1C[C@@H](CN2CCC2)C1
981,CHEMBL1083528,CCCC(=O)Nc1n[nH]c2cc(-c3ccc4c(c3)COO4)ccc12
982,CHEMBL108362,COc1cc2c(cc1NCCN(C)C)nc(Nc1c(C)cccc1Cl)c1cncn12
983,CHEMBL1083623,O=c1cc(N2CCOCC2)c2cc(-c3ccccc3)ccc2o1
984,CHEMBL1083624,O=c1cc(N2CCOCC2)c2cc(-c3cccs3)ccc2o1
985,CHEMBL1083638,O=c1oc(N2CCOCC2)cc2ccccc12
986,CHEMBL1083639,COc1cccc2c(=O)oc(N3CCOCC3)cc12
987,CHEMBL1083644,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4cccc(N5CCNCC5)c4)cnn3c2N)cc1
988,CHEMBL1083747,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)C1CNCC1c1cccc(Br)c1
989,CHEMBL1083748,COc1cccc(C2CNCC2C(=O)Nc2cc3cc[nH]c(=O)c3cc2Cl)c1
990,CHEMBL1083749,Cc1cccc(C2CNCC2C(=O)Nc2cc3cc[nH]c(=O)c3cc2Cl)c1
991,CHEMBL1083757,CCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3
992,CHEMBL1083771,CN(C)c1ccc(-c2nc3c(N4CCN(CC(=O)Nc5ccccc5)CC4)c(Cl)cnc3[nH]2)cc1
993,CHEMBL1083772,Clc1ccc(CN2CCN(c3c(Br)cnc4[nH]c(-c5ccc(CN6CCOCC6)cc5)nc34)CC2)cc1
994,CHEMBL1083773,COc1ccc(-c2nc3c(N4CCN(CC5CC5)CC4)c(Br)cnc3[nH]2)cc1
995,CHEMBL1083774,COc1ccc(-c2nc3c(N4CCN(Cc5cc(C)on5)CC4)c(Br)cnc3[nH]2)cc1
996,CHEMBL1083799,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)C1CNCC1c1ccc(Cl)cc1Cl
997,CHEMBL1083800,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)C1CNCC1c1ccccn1
998,CHEMBL1083801,COc1ccc(-c2nc3c(N4CCN(Cc5cccnc5)CC4)c(Br)cnc3[nH]2)cc1
999,CHEMBL1083809,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4ccc(N)cc4)nc(N4CCOCC4)c3s2)CC1
1000,CHEMBL1083810,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4ccc(N)nc4)nc(N4CCOCC4)c3s2)CC1
1001,CHEMBL1083817,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(N/N=C/c2ccco2)=N1
1002,CHEMBL1083837,CCCC(=O)Nc1n[nH]c2cc(-c3ccc([N+](=O)[O-])cc3)ccc12
1003,CHEMBL1083838,O=C1Nc2ccc(I)cc2/C1=C1/Nc2ccccc2C1=O
1004,CHEMBL1083839,O=C1Nc2ccc(OC(F)(F)F)cc2/C1=C1/Nc2ccccc2/C1=N\O
1005,CHEMBL1083912,CNC(=O)Nc1ccc2c(c1)C(=O)/C(=C\c1c(-c3c(C)nn(C)c3C)[nH]c3ccc(OC)cc13)O2
1006,CHEMBL1083965,Cc1c(-c2ccnc(N)n2)sc2ccc(C(C)N)cc12
1007,CHEMBL1083966,CCC(N)c1ccc2sc(-c3ccnc(N)n3)c(C)c2c1
1008,CHEMBL1083967,CCCC(N)c1ccc2sc(-c3ccnc(N)n3)c(C)c2c1
1009,CHEMBL1084028,CN1CCN(c2cccc(-c3cnn4c(N)c(-c5ccc(NC(=O)NCC6CCCCC6)cc5)cnc34)c2)CC1
1010,CHEMBL1084036,Cc1cn(-c2cc(NC(=O)Nc3ccc(-c4nc5[nH]ncc5[nH]4)c(C)c3)cc(C(F)(F)F)c2)cn1
1011,CHEMBL1084051,CCc1cccc(C2CNCC2C(=O)Nc2cc3cc[nH]c(=O)c3cc2Cl)c1
1012,CHEMBL1084052,O=C(Nc1ccc2c(=O)[nH]ccc2c1)OCc1ccccc1
1013,CHEMBL1084053,O=C(NCc1ccccc1)Nc1ccc2c(=O)[nH]ccc2c1
1014,CHEMBL1084061,CCCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3
1015,CHEMBL1084062,CC(C)n1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3
1016,CHEMBL1084067,COc1ccc(-c2nc3c(N4CCN(Cc5ccc(Cl)cc5)CC4)c(Br)cnc3[nH]2)cc1
1017,CHEMBL1084079,Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(-c5ccc(CN6CCOCC6)cc5)nc34)CC2)no1
1018,CHEMBL1084088,COc1ccc(CC(=O)Nc2ccc3c(c2)CCc2cnc(Nc4ccc(S(N)(=O)=O)cc4)nc2-3)cc1
1019,CHEMBL1084089,CC(C)CC(=O)Nc1ccc2c(c1)CCc1cnc(Nc3ccc(S(N)(=O)=O)cc3)nc1-2
1020,CHEMBL1084104,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)C1CNCC1c1cccnc1
1021,CHEMBL1084105,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)C1CNCC1c1ccncc1
1022,CHEMBL1084106,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)C(NC1CC1)c1ccccc1
1023,CHEMBL1084107,CN(C)C(C(=O)Nc1cc2cc[nH]c(=O)c2cc1Cl)c1ccccc1
1024,CHEMBL1084108,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)C(NCc1ccccc1)c1ccccc1
1025,CHEMBL1084110,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)C1CNCC1c1ccc(F)cc1
1026,CHEMBL1084117,CC1=C(C(=O)Nc2ccc(C)cc2)C(c2ccc(O)cc2O)NC(Nc2ccc([N+](=O)[O-])cc2Cl)=N1
1027,CHEMBL1084118,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(NCc2ccccc2)=N1
1028,CHEMBL1084134,O=C(O)CCC(=O)Nc1n[nH]c2cc(Cl)ccc12
1029,CHEMBL1084174,NS(=O)(=O)c1ccc(Nc2nccc(-c3ccc(NC(=O)Cc4ccccc4)cc3)n2)cc1
1030,CHEMBL1084233,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(NC(=O)Nc6ccccc6Cl)cc5)cnc34)cc2)CC1
1031,CHEMBL1084234,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(NC(=O)NCC6CCCCC6)cc5)cnc34)cc2)CC1
1032,CHEMBL1084236,O=c1oc(N2CCOCC2)cc2c(-c3ccccc3)cccc12
1033,CHEMBL1084237,O=c1oc(N2CCOCC2)cc2c(-c3cccc(-c4ccccc4)c3)cccc12
1034,CHEMBL1084268,CCn1cnc2c(Nc3ccc(P(=O)(O)CP(=O)(O)O)cc3)nc([C@H]3CC[C@H](N)CC3)nc21
1035,CHEMBL1084269,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cc(COc3cccnc3)n[nH]2)cc1
1036,CHEMBL1084302,CN1CCN(c2cccc(-c3cnn4c(N)c(-c5ccc(NC(=O)N(C)C6CCCCC6)cc5)cnc34)c2)CC1
1037,CHEMBL1084323,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)C1(c2ccccc2)CCNC1
1038,CHEMBL1084324,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)C1CNCCC1c1ccccc1
1039,CHEMBL1084337,CC(C)Cn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3
1040,CHEMBL1084338,CC(C)CCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3
1041,CHEMBL1084345,NS(=O)(=O)c1ccc(Nc2ncc3c(n2)-c2ccccc2CC3)cc1
1042,CHEMBL1084346,NS(=O)(=O)c1ccc(Nc2ncc3c(n2)-c2ccccc2CCC3)cc1
1043,CHEMBL1084361,NS(=O)(=O)c1ccc(Nc2ncc3c(n2)-c2ccc(NC(=O)Cc4cccs4)cc2CC3)cc1
1044,CHEMBL1084381,CC(NCc1ccccc1)C(=O)Nc1cc2cc[nH]c(=O)c2cc1Cl
1045,CHEMBL1084409,Cc1c(Nc2c(C#N)cncc2/C=C/c2ccccc2CN2CCN(C)CC2)ccc2[nH]ccc12
1046,CHEMBL1084410,Cc1c(Nc2c(C#N)cncc2/C=C/c2ccc(CN3CCN(C)CC3)cn2)ccc2[nH]ccc12
1047,CHEMBL1084411,Cc1c(Nc2c(C#N)cncc2/C=C/c2cccc(CN3CCN(C)CC3)n2)ccc2[nH]ccc12
1048,CHEMBL1084450,O=C(Nc1cccc(-n2ccc3c(NC(=O)c4ccccc4)nccc32)c1)c1ccc(N2CCOCC2)c(C(F)(F)F)c1
1049,CHEMBL1084451,CCN1CCC(CNc2nccc(-c3cccnc3Oc3ccc(Nc4nc5ccccc5[nH]4)c4ccccc34)n2)CC1
1050,CHEMBL1084452,CN1CCCC1CCNc1nccc(-c2cccnc2Oc2ccc(Nc3nc4ccccc4[nH]3)c3ccccc23)n1
1051,CHEMBL1084453,CN(C)CC(C)(C)CNc1nccc(-c2cccnc2Oc2ccc(Nc3nc4ccccc4[nH]3)c3ccccc23)n1
1052,CHEMBL1084546,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O
1053,CHEMBL1084554,CC(C)(C)c1cccc(C2CNCC2C(=O)Nc2cc3cc[nH]c(=O)c3cc2Cl)c1
1054,CHEMBL1084597,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)C1CNCC1c1ccccc1
1055,CHEMBL1084628,NS(=O)(=O)c1ccc(Nc2ncc3c(n2)-c2ccc(NC(=O)Cc4ccsc4)cc2CC3)cc1
1056,CHEMBL1084633,CNc1nccc(-c2cccnc2Oc2ccc(NC(=O)NC(C)(C)C)c3ccccc23)n1
1057,CHEMBL1084634,CCNC(=O)Nc1ccc(Oc2ncccc2-c2ccnc(NC)n2)c2ccccc12
1058,CHEMBL1084636,Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(N5CCNCC5)nc34)CC2)no1
1059,CHEMBL1084653,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)C1CNCC1c1ccc(Br)cc1
1060,CHEMBL1084681,CCCC(=O)Nc1n[nH]c2cc(-c3ccc(F)cc3)ccc12
1061,CHEMBL1084682,CCCC(=O)Nc1n[nH]c2cc(-c3cc(Cl)cc(Cl)c3)ccc12
1062,CHEMBL1084683,CCCC(=O)Nc1n[nH]c2cc(-c3ccc(OC(F)(F)F)cc3)ccc12
1063,CHEMBL1084684,CCCC(=O)Nc1n[nH]c2cc(CCc3ccccc3)ccc12
1064,CHEMBL1084692,Cc1ccc(-c2ccc3c(NC(=O)CCC(=O)O)n[nH]c3c2)cc1
1065,CHEMBL1084693,N#Cc1ccc(-c2ccc3c(NC(=O)CCC(=O)O)n[nH]c3c2)cc1
1066,CHEMBL1084791,Cc1c(-c2ccnc(N)n2)sc2ccc(Cc3cccc(C(=O)O)c3)cc12
1067,CHEMBL1084792,COC(=O)c1cccc(Cc2ccc3sc(-c4ccnc(N)n4)c(C)c3c2)c1
1068,CHEMBL1084795,COc1ccc(C(N)c2ccc3sc(-c4ccnc(N)n4)c(C)c3c2)cc1
1069,CHEMBL1084800,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)C1CNCC1c1cccc(OC(F)(F)F)c1
1070,CHEMBL1084844,O=C(Cc1ccccc1)Nc1cccc2nc[nH]c(=O)c12
1071,CHEMBL1084845,O=C(Cc1ccccc1)Nc1cccc2c(=O)[nH]ccc12
1072,CHEMBL1084846,O=C(Cc1ccccc1)Nc1ccc2cc[nH]c(=O)c2c1
1073,CHEMBL1084858,Brc1cnc2[nH]c(-c3ccc(CN4CCOCC4)cc3)nc2c1N1CCN(Cc2cccnc2)CC1
1074,CHEMBL1084859,COc1ccc(-c2nc3c(N4CCN(Cc5cncnc5)CC4)c(Br)cnc3[nH]2)cc1
1075,CHEMBL1084860,Brc1cnc2[nH]c(-c3ccc(CN4CCOCC4)cc3)nc2c1N1CCN(Cc2cncnc2)CC1
1076,CHEMBL1084863,NS(=O)(=O)c1ccc(Nc2nccc(-c3ccccc3)n2)cc1
1077,CHEMBL1084887,CC(C)c1nc(CN2CCN(c3c(Br)cnc4[nH]c(-c5ccc(CN6CCOCC6)cc5)nc34)CC2)co1
1078,CHEMBL1084888,COc1ccc(-c2nc3c(N4CCN(Cc5nccn5C)CC4)c(Br)cnc3[nH]2)cc1
1079,CHEMBL1084889,Cn1ccnc1CN1CCN(c2c(Br)cnc3[nH]c(-c4ccc(CN5CCOCC5)cc4)nc23)CC1
1080,CHEMBL1084890,O=C(Cc1ccccc1)Nc1cc2cc[nH]c(=O)c2cc1Cl
1081,CHEMBL1084892,CNC(C(=O)Nc1cc2cc[nH]c(=O)c2cc1Cl)c1ccccc1
1082,CHEMBL1084900,O=C(CNCc1ccccc1)Nc1cc2cc[nH]c(=O)c2cc1Cl
1083,CHEMBL1084926,CC(C)(O)c1cc2nc(-c3cnc(N)nc3)nc(N3CCOCC3)c2s1
1084,CHEMBL1084938,Cc1ccc2c(c1)/C(=C1/Nc3ccccc3C1=O)C(=O)N2
1085,CHEMBL1084939,O=C1Nc2ccc(Cl)cc2/C1=C1/Nc2ccccc2C1=O
1086,CHEMBL1084947,Cc1c(-c2ccnc(N)n2)sc2ccc(Oc3cccc(O)c3)cc12
1087,CHEMBL1084970,NS(=O)(=O)c1ccc(Nc2nccc(-c3ccsc3)n2)cc1
1088,CHEMBL1084974,CN1CCN(c2cccc(-c3cnn4c(N)c(-c5ccc(NS(=O)(=O)c6cccc(Cl)c6Cl)cc5)cnc34)c2)CC1
1089,CHEMBL1085000,O=c1cc(N2CCOCC2)c2ccc(-c3cc4ccccc4s3)cc2o1
1090,CHEMBL1085001,O=c1cc(N2CCOCC2)c2ccc(-c3cccc4c3sc3ccccc34)cc2o1
1091,CHEMBL1085035,Cc1c(-c2ccnc(N)n2)sc2ccc(C(N)c3cccc(Cl)c3)cc12
1092,CHEMBL108505,CC(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(CCC4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@]43C)C12
1093,CHEMBL1085061,CN1CCN(c2cccc(-c3cnn4c(N)c(-c5ccc(NC(=O)Nc6ccccc6Cl)cc5)cnc34)c2)CC1
1094,CHEMBL1085063,COc1ccc(Cn2ncc3[nH]c(-c4cc(NC(=O)Nc5ccc(Cl)c(Cl)c5)ccc4C)nc32)cc1
1095,CHEMBL1085082,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)C1CCNCC1
1096,CHEMBL1085083,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)[C@@H]1CCNC1
1097,CHEMBL1085121,NS(=O)(=O)c1ccc(Nc2ncc3c(n2)-c2ccc(NC(=O)Cc4ccccc4)cc2CC3)cc1
1098,CHEMBL1085122,NS(=O)(=O)c1ccc(Nc2nccc(-c3ccc(NC(=O)Cc4cccs4)cc3)n2)cc1
1099,CHEMBL1085131,Cc1cc(CN2CCN(c3c(Cl)cnc4[nH]c(-c5ccc(CN)cc5)nc34)CC2)no1
1100,CHEMBL1085132,Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(-c5ccc(OCCO)cc5)nc34)CC2)no1
1101,CHEMBL1085133,CN(C)c1ccc(-c2nc3c(N4CCN(C(=O)Nc5ccccc5)CC4)c(Br)cnc3[nH]2)cc1
1102,CHEMBL1085134,CN(C)c1ccc(-c2nc3c(N4CCN(S(=O)(=O)c5ccccc5)CC4)c(Br)cnc3[nH]2)cc1
1103,CHEMBL1085135,CN(C)c1ccc(-c2nc3c(N4CCN(c5ccccc5)CC4)c(Br)cnc3[nH]2)cc1
1104,CHEMBL1085136,CC(C)CN1CCN(c2c(Br)cnc3[nH]c(-c4ccc(N(C)C)cc4)nc23)CC1
1105,CHEMBL1085137,CC(=O)Nc1cc2cc[nH]c(=O)c2cc1Cl
1106,CHEMBL1085138,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)c1ccccc1
1107,CHEMBL1085139,O=C(CCc1ccccc1)Nc1cc2cc[nH]c(=O)c2cc1Cl
1108,CHEMBL1085140,O=C(CC1CCCCC1)Nc1cc2cc[nH]c(=O)c2cc1Cl
1109,CHEMBL1085141,NC(C(=O)Nc1cc2cc[nH]c(=O)c2cc1Cl)c1ccccc1
1110,CHEMBL1085159,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4ccccc4)nc(N4CCOCC4)c3s2)CC1
1111,CHEMBL1085160,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc(CO)c4)nc(N4CCOCC4)c3s2)CC1
